gene_id,symbol,biotype,baseMean,log2FoldChange,lfcSE,pvalue,padj,rna
ENSG00000148826.8,NKX6-2,protein_coding,85.56237838101389,-10.063770958045296,3.073571704675139,3.408912204276181e-9,2.2952327618255964e-7,lower GFP_negative
ENSG00000281991.1,TMEM265,protein_coding,68.62755362337327,-9.700582770129213,3.0200688828661657,7.346059312305305e-9,4.7146070871569624e-7,lower GFP_negative
ENSG00000100146.16,SOX10,protein_coding,79.44840996412783,-7.682764565090353,1.4788681078856583,2.3587222166513055e-7,1.077971878463534e-5,lower GFP_negative
ENSG00000156510.12,HKDC1,protein_coding,182.5757420979316,-7.235388023551165,0.9180059714342745,7.916062538922981e-16,1.3265561690226267e-13,lower GFP_negative
ENSG00000227507.2,LTB,protein_coding,368.53148489099715,-7.053859014803677,0.6462397799151142,1.6796369439064298e-28,9.382327551109917e-26,lower GFP_negative
ENSG00000167434.9,CA4,protein_coding,373.26087699680045,-6.78671286767514,0.6537495222563252,2.6958340227896746e-26,1.2320778403549658e-23,lower GFP_negative
ENSG00000245648.1,RP11-277P12.20,antisense,241.5553458576538,-6.559899863406472,0.6937048213341724,4.2236826308338252e-22,1.3000322742497092e-19,lower GFP_negative
ENSG00000060718.20,COL11A1,protein_coding,1092.353493194565,-6.418593989178215,0.5694394223337859,9.410720407066492e-31,7.587635105309481e-28,lower GFP_negative
ENSG00000179914.4,ITLN1,protein_coding,66.27627296514767,-6.4137004664458415,1.4030585647171765,6.239001232698666e-7,2.529478940633368e-5,lower GFP_negative
ENSG00000064300.8,NGFR,protein_coding,65.17904178809711,-6.386022666626152,1.4263976136051162,9.636196187784538e-7,3.7074773189838365e-5,lower GFP_negative
ENSG00000092758.15,COL9A3,protein_coding,167.90766706471794,-6.28845264341052,0.8799167639596619,7.052119783999696e-14,9.329830752831878e-12,lower GFP_negative
ENSG00000131378.13,RFTN1,protein_coding,317.46153203696997,-6.239280348678064,0.659032766131922,2.554435443139824e-22,8.197020287964857e-20,lower GFP_negative
ENSG00000087303.17,NID2,protein_coding,327.06353212962927,-6.202403072384885,0.5914016763368343,9.342410630229313e-27,4.403194910159953e-24,lower GFP_negative
ENSG00000268104.2,SLC6A14,protein_coding,251.30622647902814,-6.195412338656891,0.6756127998759012,4.026237167809112e-21,1.1677636339403275e-18,lower GFP_negative
ENSG00000164236.11,ANKRD33B,protein_coding,672.7921377617408,-6.185229232792874,0.4848819086506805,1.8716425979475727e-38,3.5285142077806615e-35,lower GFP_negative
ENSG00000196136.17,SERPINA3,protein_coding,3278.9673723995506,-6.1327653114679626,0.42814918214650866,8.303423545275942e-48,6.261611695492587e-44,lower GFP_negative
ENSG00000163735.6,CXCL5,protein_coding,1113.381529855315,-6.118110298009967,0.4601309000671798,1.2785012975202325e-41,3.213726094866691e-38,lower GFP_negative
ENSG00000001626.14,CFTR,protein_coding,11498.455262208794,-6.08682009281924,0.4293247996998054,5.3220432161529e-47,2.0066763946504508e-43,lower GFP_negative
